num,study,end.year,design,group,record,race,rec.num,no.rec.num,n.apps,callback,,
1,Schwarz and Skolnick (1962),1959,in person,pooled,comb,pooled,,,100,19,,
1,Schwarz and Skolnick (1962),1959,in person,no record,no,pooled,0,0,25,36,,
1,Schwarz and Skolnick (1962),1959,in person,record,yes,pooled,1,0,25,4,,
1,Schwarz and Skolnick (1962),1959,in person,record,yes,pooled,2,0,25,12,,
1,Schwarz and Skolnick (1962),1959,in person,record,yes,pooled,3,0,25,24,,
2,Pager (2003),2001,in person,pooled,comb,pooled,,,700,16.4,,
2,Pager (2003),2001,in person,white,comb,white,,,300,25.5,,
2,Pager (2003),2001,in person,black,comb,black,,,400,9.5,,
2,Pager (2003),2001,in person,no record,no,pooled,0,0,350,22.6,,
2,Pager (2003),2001,in person,record,yes,pooled,1,0,350,10.1,,
2,Pager (2003),2001,in person,"no record, white",no,white,0,0,150,34,,
2,Pager (2003),2001,in person,"record, white",yes,white,1,0,150,17,,
2,Pager (2003),2001,in person,"no record, black",no,black,0,0,200,14,,
2,Pager (2003),2001,in person,"record, black",yes,black,1,0,200,5,,
3,Galgano (2009),2008,online,pooled,comb,pooled,,,600,14.8,,
3,Galgano (2009),2008,online,no record,no,pooled,0,0,300,16.5,,
3,Galgano (2009),2008,online,record,yes,pooled,1,0,300,13,,
3,Galgano (2009),2008,online,white,comb,white,,,300,16.5,,
3,Galgano (2009),2008,online,black,comb,black,,,300,13,,
3,Galgano (2009),2008,online,"no record, white",no,white,0,0,150,19,,
3,Galgano (2009),2008,online,"record, white",yes,white,1,0,150,14,,
3,Galgano (2009),2008,online,"no record, black",no,black,0,0,150,14,,
3,Galgano (2009),2008,online,"record, black",yes,black,1,0,150,12,,
4,Pager et al. (2009a),2004,in person,pooled,comb,pooled,,,1020,23.8,,
4,Pager et al. (2009a),2004,in person,white,comb,white,,,171,31,,
4,Pager et al. (2009a),2004,in person,black,comb,black,,,171,15.2,,
4,Pager et al. (2009a),2004,in person,latino,comb,latino,,,171,25.1,,
4,Pager et al. (2009a),2004,in person,"record, white",yes,white,1,0,169,17.2,,
4,Pager et al. (2009a),2004,in person,"no record, black",no,black,0,0,169,13,,
4,Pager et al. (2009a),2004,in person,"no record, latino",no,latino,0,0,169,15.4,,
5,Pager et al. (2009b),2004,in person,pooled,comb,pooled,,,500,22,,
5,Pager et al. (2009b),2004,in person,white,comb,white,,,250,26.5,,
5,Pager et al. (2009b),2004,in person,black,comb,black,,,250,17.5,,
5,Pager et al. (2009b),2004,in person,no record,no,pooled,0,0,250,28,,
5,Pager et al. (2009b),2004,in person,record,yes,pooled,1,0,250,16,,
5,Pager et al. (2009b),2004,in person,"no record, white",no,white,0,0,125,31,,
5,Pager et al. (2009b),2004,in person,"record, white",yes,white,1,0,125,22,,
5,Pager et al. (2009b),2004,in person,"no record, black",no,black,0,0,125,25,,
5,Pager et al. (2009b),2004,in person,"record, black",yes,black,1,0,125,10,,
6,Wells (2013),2007,in person,pooled,comb,pooled,,,60,28.5,,
6,Wells (2013),2007,in person,white,comb,white,,,30,43.5,,
6,Wells (2013),2007,in person,black,comb,black,,,30,13.5,,
6,Wells (2013),2007,in person,no record,no,pooled,0,0,30,37,,
6,Wells (2013),2007,in person,record,yes,pooled,1,0,30,20,,
6,Wells (2013),2007,in person,"no record, white",no,white,0,0,15,47,,
6,Wells (2013),2007,in person,"record, white",yes,white,1,0,15,40,,
6,Wells (2013),2007,in person,"no record, black",no,black,0,0,15,27,,
6,Wells (2013),2007,in person,"record, black",yes,black,1,0,15,0,,
7,Ortiz (2014) IP,2012,in person,pooled,comb,pooled,,,252,16.7,,
7,Ortiz (2014) IP,2012,in person,white,comb,white,,,101,14.8,,
7,Ortiz (2014) IP,2012,in person,black,comb,black,,,55,9.1,,
7,Ortiz (2014) IP,2012,in person,latino,comb,latino,,,96,22.9,,
7,Ortiz (2014) IP,2012,in person,no record,no,pooled,0,0,127,18.9,,
7,Ortiz (2014) IP,2012,in person,record,yes,pooled,1,0,125,14.4,,
7,Ortiz (2014) IP,2012,in person,"no record, white",no,white,0,0,51,11.8,,
7,Ortiz (2014) IP,2012,in person,"record, white",yes,white,1,0,50,18.0,,
7,Ortiz (2014) IP,2012,in person,"no record, black",no,black,0,0,30,13.3,,
7,Ortiz (2014) IP,2012,in person,"record, black",yes,black,1,0,25,4.0,,
7,Ortiz (2014) IP,2012,in person,"no record, latino",no,latino,0,0,46,30.4,,
