num,study,end.year,design,group,record,race,rec.num,no.rec.num,n.apps,mean,sd,norm,callback
27,Finn and Fontaine (1983),1983,survey,pooled,comb,pooled,,,1696,49.99,10,0.50,50.0
27,Finn and Fontaine (1983),1983,survey,no record,no,pooled,0,0,424,58.6,,0.73,72.6
27,Finn and Fontaine (1983),1983,survey,record,yes,pooled,1,0,424,51.82,,0.55,54.8
27,Finn and Fontaine (1983),1983,survey,record,yes,pooled,2,0,424,48.38,,0.46,45.7
27,Finn and Fontaine (1983),1983,survey,record,yes,pooled,3,0,424,41.16,,0.27,26.7
28,Finn and Fontaine (1985) M,1985,survey,pooled,comb,pooled,,,2250,49.93,,0.50,49.8
28,Finn and Fontaine (1985) M,1985,survey,no record,no,pooled,0,0,225,65.84,,0.90,89.6
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,1,0,675,55.41,,0.64,63.5
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,1.1,0,225,57.92,,0.70,69.8
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,1.2,0,225,56.89,,0.67,67.2
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,1.3,0,225,51.42,,0.54,53.6
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,2,0,675,47.00,,0.42,42.5
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,2.1,0,225,50.67,,0.52,51.7
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,2.2,0,225,48.80,,0.47,47.0
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,2.3,0,225,41.53,,0.29,28.8
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,3,0,675,42.07,,0.30,30.2
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,3.1,0,225,46.39,,0.41,41.0
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,3.2,0,225,44.50,,0.36,36.3
28,Finn and Fontaine (1985) M,1985,survey,record,yes,pooled,3.3,0,225,35.33,,0.13,13.3
29,Finn and Fontaine (1985) W,1985,survey,pooled,comb,pooled,,,2250,50.12,,0.50,50.3
29,Finn and Fontaine (1985) W,1985,survey,no record,no,pooled,0,0,225,66.97,,0.92,92.4
29,Finn and Fontaine (1985) W,1985,survey,record,yes,pooled,1,0,675,55.13,,0.63,62.8
29,Finn and Fontaine (1985) W,1985,survey,record,yes,pooled,1.1,0,225,57.92,,0.70,69.8
29,Finn and Fontaine (1985) W,1985,survey,record,yes,pooled,1.2,0,225,56.58,,0.66,66.4
29,Finn and Fontaine (1985) W,1985,survey,record,yes,pooled,1.3,0,225,50.90,,0.52,52.3
29,Finn and Fontaine (1985) W,1985,survey,record,yes,pooled,2,0,675,47.13,,0.43,42.8
29,Finn and Fontaine (1985) W,1985,survey,record,yes,pooled,2.1,0,225,50.84,,0.52,52.1
29,Finn and Fontaine (1985) W,1985,survey,record,yes,pooled,2.2,0,225,48.51,,0.46,46.3
