tx,txblack,txrecord,txgoogle,tx4,callback
7,White Applicant,Criminal Record,Google Clean,4,1
1,Black Applicant,Clean Record,Google Clean,1,7
2,Black Applicant,Clean Record,Google Criminal,1,7
1,Black Applicant,Clean Record,Google Clean,1,7
4,Black Applicant,Criminal Record,Google Criminal,2,5
3,Black Applicant,Criminal Record,Google Clean,2,1
7,White Applicant,Criminal Record,Google Clean,4,3
6,White Applicant,Clean Record,Google Criminal,3,6
3,Black Applicant,Criminal Record,Google Clean,2,5
5,White Applicant,Clean Record,Google Clean,3,4
3,Black Applicant,Criminal Record,Google Clean,2,3
6,White Applicant,Clean Record,Google Criminal,3,6
5,White Applicant,Clean Record,Google Clean,3,4
8,White Applicant,Criminal Record,Google Criminal,4,3
5,White Applicant,Clean Record,Google Clean,3,6
4,Black Applicant,Criminal Record,Google Criminal,2,1
8,White Applicant,Criminal Record,Google Criminal,4,5
1,Black Applicant,Clean Record,Google Clean,1,7
5,White Applicant,Clean Record,Google Clean,3,7
6,White Applicant,Clean Record,Google Criminal,3,5
2,Black Applicant,Clean Record,Google Criminal,1,7
5,White Applicant,Clean Record,Google Clean,3,4
3,Black Applicant,Criminal Record,Google Clean,2,6
7,White Applicant,Criminal Record,Google Clean,4,4
8,White Applicant,Criminal Record,Google Criminal,4,2
3,Black Applicant,Criminal Record,Google Clean,2,6
3,Black Applicant,Criminal Record,Google Clean,2,2
7,White Applicant,Criminal Record,Google Clean,4,5
1,Black Applicant,Clean Record,Google Clean,1,6
4,Black Applicant,Criminal Record,Google Criminal,2,3
7,White Applicant,Criminal Record,Google Clean,4,4
2,Black Applicant,Clean Record,Google Criminal,1,7
1,Black Applicant,Clean Record,Google Clean,1,7
5,White Applicant,Clean Record,Google Clean,3,4
6,White Applicant,Clean Record,Google Criminal,3,6
4,Black Applicant,Criminal Record,Google Criminal,2,3
6,White Applicant,Clean Record,Google Criminal,3,4
7,White Applicant,Criminal Record,Google Clean,4,4
1,Black Applicant,Clean Record,Google Clean,1,7
7,White Applicant,Criminal Record,Google Clean,4,6
8,White Applicant,Criminal Record,Google Criminal,4,1
7,White Applicant,Criminal Record,Google Clean,4,4
7,White Applicant,Criminal Record,Google Clean,4,2
6,White Applicant,Clean Record,Google Criminal,3,5
2,Black Applicant,Clean Record,Google Criminal,1,6
5,White Applicant,Clean Record,Google Clean,3,6
8,White Applicant,Criminal Record,Google Criminal,4,3
1,Black Applicant,Clean Record,Google Clean,1,7
4,Black Applicant,Criminal Record,Google Criminal,2,6
6,White Applicant,Clean Record,Google Criminal,3,6
2,Black Applicant,Clean Record,Google Criminal,1,6
4,Black Applicant,Criminal Record,Google Criminal,2,3
1,Black Applicant,Clean Record,Google Clean,1,7
3,Black Applicant,Criminal Record,Google Clean,2,3
3,Black Applicant,Criminal Record,Google Clean,2,5
3,Black Applicant,Criminal Record,Google Clean,2,5
7,White Applicant,Criminal Record,Google Clean,4,1
3,Black Applicant,Criminal Record,Google Clean,2,5
2,Black Applicant,Clean Record,Google Criminal,1,6
3,Black Applicant,Criminal Record,Google Clean,2,3
5,White Applicant,Clean Record,Google Clean,3,6
8,White Applicant,Criminal Record,Google Criminal,4,6
7,White Applicant,Criminal Record,Google Clean,4,1
5,White Applicant,Clean Record,Google Clean,3,7
4,Black Applicant,Criminal Record,Google Criminal,2,1
8,White Applicant,Criminal Record,Google Criminal,4,2
6,White Applicant,Clean Record,Google Criminal,3,2
6,White Applicant,Clean Record,Google Criminal,3,6
1,Black Applicant,Clean Record,Google Clean,1,7
2,Black Applicant,Clean Record,Google Criminal,1,5
3,Black Applicant,Criminal Record,Google Clean,2,6
1,Black Applicant,Clean Record,Google Clean,1,6
5,White Applicant,Clean Record,Google Clean,3,5
8,White Applicant,Criminal Record,Google Criminal,4,2
4,Black Applicant,Criminal Record,Google Criminal,2,1
7,White Applicant,Criminal Record,Google Clean,4,3
6,White Applicant,Clean Record,Google Criminal,3,5
8,White Applicant,Criminal Record,Google Criminal,4,5
